nifa,net_tfa,tw,age,inc,fsize,educ,db,marr,twoearn,e401,p401,pira,hown
0,0,4500,47,6765,2,8,0,0,0,0,0,0,1
6215,1015,22390,36,28452,1,16,0,0,0,0,0,0,1
0,-2000,-2000,37,3300,6,12,1,0,0,0,0,0,0
15000,15000,155000,58,52590,2,16,0,1,1,0,0,0,1
0,0,58000,32,21804,1,11,0,0,0,0,0,0,1
13000,27800,66643,34,34680,1,16,0,0,0,0,0,1,1
2000,2913,31913,28,21600,3,12,0,1,1,0,0,1,1
0,-650,36850,54,4686,3,11,0,0,0,0,0,0,1
25299,37279,111363,43,65820,2,14,1,1,1,0,0,1,1
1900,1900,33900,32,37260,3,18,0,1,0,0,0,0,1
1283,783,58283,52,15306,3,12,0,1,0,0,0,0,1
1400,-10000,7000,30,58413,4,18,0,1,1,0,0,0,0
760,-740,19260,63,21630,2,15,0,0,0,0,0,0,1
0,0,0,38,30600,1,18,0,1,0,0,0,0,0
0,-4700,-3700,32,33414,4,13,0,1,1,0,0,0,0
0,-1000,-325,29,14580,3,12,0,0,0,0,0,0,0
1099,-16901,33299,40,57477,4,17,1,1,1,0,0,0,1
4200,2000,68000,30,46008,4,10,0,1,0,0,0,0,1
0,0,0,44,3825,1,12,0,0,0,0,0,0,0
300,0,0,57,5220,1,18,1,0,0,0,0,0,0
0,-800,25950,42,9120,5,10,0,0,0,0,0,0,1
40500,52900,160900,41,69693,4,16,0,1,1,0,0,1,1
1560,-9940,-3465,39,52110,1,16,1,0,0,0,0,0,0
0,0,3000,53,30000,3,12,0,1,0,0,0,0,1
2000,2000,73000,64,26826,1,12,0,0,0,0,0,0,1
0,0,0,37,10524,3,14,0,0,0,0,0,0,0
0,0,0,62,33228,2,12,0,1,1,0,0,0,0
2542,-2238,76075,55,60528,2,12,0,1,0,0,0,0,1
0,-2797,21203,39,13512,3,12,1,1,1,0,0,0,1
75664,97664,206589,58,44640,1,12,0,0,0,0,0,1,1
0,-500,14500,43,14280,4,4,0,1,0,0,0,0,0
1300,-4700,-700,37,28134,3,13,0,1,0,0,0,0,0
249,249,249,31,14931,1,16,0,0,0,0,0,0,1
