id,read12,math12,hsgrad,inpse,catholic,read8,math8,female,race,white,black,hisp,api,nativam,parmar8,faminc8,fathed8,mothed8,fhowfar,mhowfar,fight8,nohw8,disrupt8,riskdrop8
124902,61.41,49.77,yes,yes,yes,55.959999,50.27,no,white,yes,no,no,no,no,married,$25000-$34999,hs grad,hs grad,coll <4,coll <4,never,no,no,1
124915,58.34,59.84,yes,yes,yes,63.099998,51.52,no,white,yes,no,no,no,no,married,$25000-$34999,dont know,dont know,coll <4,coll grad,never,no,no,0
124916,59.330002,50.380001,yes,yes,yes,60.990002,47.560001,yes,white,yes,no,no,no,no,married,$25000-$34999,not finish hs,doctorate,coll <4,coll <4,never,no,no,0
124932,49.59,45.029999,yes,yes,yes,45.34,46.599998,yes,white,yes,no,no,no,no,married,$25000-$34999,dont know,dont know,coll grad,coll grad,never,no,no,1
124944,57.619999,54.259998,yes,yes,yes,55.93,60.220001,yes,white,yes,no,no,no,no,married,35000-$49999,hs grad,hs grad,coll grad,coll grad,never,no,no,1
124966,60.119999,55.369999,yes,yes,yes,66.849998,58.630001,yes,white,yes,no,no,no,no,married,$10000-$14999,not finish hs,hs grad,coll grad,coll grad,never,no,no,1
124968,64.690002,65.07,yes,yes,yes,58.580002,59.849998,no,white,yes,no,no,no,no,married,$25000-$34999,hs grad,hs grad,coll <4,coll <4,never,no,no,0
124970,48.189999,47.970001,yes,yes,yes,54.650002,47.919998,no,white,yes,no,no,no,no,married,$25000-$34999,masters,junior coll,coll grad,coll grad,once or twice,no,yes,1
124972,42.09,53.98,yes,yes,yes,49.459999,49.650002,no,white,yes,no,no,no,no,married,$25000-$34999,junior coll,junior coll,coll grad,coll grad,once or twice,no,yes,0
124974,60.23,62.720001,yes,no,yes,64.889999,64.360001,no,white,yes,no,no,no,no,divorced,$15000-$19999,hs grad,coll <4,coll grad,coll grad,more than twice,yes,yes,1
124985,58.25,52.049999,yes,yes,yes,46.720001,45.470001,yes,white,yes,no,no,no,no,married,35000-$49999,junior coll,hs grad,hs grad,hs grad,once or twice,no,yes,2
124990,63.950001,63.860001,yes,yes,yes,54.98,57.34,yes,white,yes,no,no,no,no,married,$25000-$34999,hs grad,junior coll,coll grad,coll grad,never,no,no,0
124998,43.150002,45.540001,yes,no,yes,34.66,38.639999,yes,white,yes,no,no,no,no,separated,$15000-$19999,hs grad,hs grad,hs grad,hs grad,never,no,no,1
175585,60.279999,62.5,yes,yes,yes,59.779999,60.959999,yes,white,yes,no,no,no,no,divorced,$25000-$34999,junior coll,masters,coll grad,postsec ed,never,yes,no,1
180607,63.57,58.77,yes,yes,yes,60.16,60.610001,no,white,yes,no,no,no,no,married,$15000-$19999,coll <4,coll <4,postsec ed,postsec ed,never,no,no,0
180610,55.400002,63.43,yes,yes,yes,63.669998,63.900002,no,white,yes,no,no,no,no,married,35000-$49999,coll grad,hs grad,coll grad,coll grad,never,no,no,1
180625,45.790001,51.509998,yes,yes,yes,43.400002,41.310001,no,white,yes,no,no,no,no,married,35000-$49999,hs grad,hs grad,coll grad,coll grad,never,no,no,0
180672,58.200001,50.02,yes,no,yes,62.650002,52.310001,yes,white,yes,no,no,no,no,married,35000-$49999,coll grad,hs grad,postsec ed,postsec ed,never,no,no,0
180681,59.279999,64.139999,yes,yes,yes,63.900002,72.940002,no,white,yes,no,no,no,no,married,35000-$49999,masters,coll grad,postsec ed,postsec ed,never,no,no,0
180690,63.310001,63.5,yes,yes,yes,70.550003,59.779999,no,white,yes,no,no,no,no,married,$25000-$34999,doctorate,masters,coll grad,coll grad,never,no,no,0
184603,59.310001,48.759998,yes,yes,yes,51.189999,50.849998,no,white,yes,no,no,no,no,married,50000-$74999,hs grad,hs grad,postsec ed,postsec ed,never,yes,no,0
184619,55.900002,44.32,yes,yes,yes,52.18,50.060001,no,white,yes,no,no,no,no,divorced,$3000-$4999,hs grad,not finish hs,coll grad,coll grad,never,yes,no,2
184626,54.860001,40.68,yes,yes,yes,44.279999,50.959999,no,white,yes,no,no,no,no,married,$25000-$34999,hs grad,hs grad,postsec ed,postsec ed,never,no,no,0
184670,44.450001,45.650002,yes,yes,yes,38.27,39.349998,yes,white,yes,no,no,no,no,married,$25000-$34999,dont know,dont know,coll <4,coll <4,never,no,no,0
184690,56.919998,50.880001,yes,no,yes,60.700001,57.150002,no,white,yes,no,no,no,no,married,35000-$49999,hs grad,hs grad,coll grad,coll grad,never,no,no,0
700035,41.740002,35.25,yes,yes,no,40.700001,38.380001,yes,hispanic,no,no,yes,no,no,married,$20000-$24999,not finish hs,not finish hs,postsec ed,postsec ed,never,no,no,1
701120,61.299999,63.23,yes,yes,no,70.550003,64.919998,yes,white,yes,no,no,no,no,married,35000-$49999,masters,hs grad,postsec ed,coll grad,never,no,no,0
701131,42.07,43.119999,yes,no,no,50.23,44.18,yes,white,yes,no,no,no,no,divorced,$5000-$7499,coll grad,hs grad,coll grad,coll grad,never,no,no,2
701148,45.98,61.290001,yes,yes,no,38.189999,52.59,no,white,yes,no,no,no,no,married,35000-$49999,dont know,dont know,coll grad,coll grad,once or twice,no,yes,0
701163,44.169998,37.060001,yes,yes,no,46.939999,56.450001,yes,white,yes,no,no,no,no,married,50000-$74999,not finish hs,dont know,coll <4,hs grad,never,no,no,0
701178,56.799999,64.110001,yes,no,no,65.849998,66.300003,yes,white,yes,no,no,no,no,married,35000-$49999,coll grad,junior coll,postsec ed,postsec ed,never,no,no,0
701612,62.619999,66.260002,yes,yes,no,56.619999,53.220001,no,white,yes,no,no,no,no,separated,35000-$49999,not finish hs,junior coll,hs grad,postsec ed,once or twice,no,yes,0
701643,57.330002,65.93,yes,yes,no,55.810001,70.809998,no,api,no,no,no,yes,no,married,50000-$74999,coll <4,hs grad,coll grad,coll grad,never,no,no,0
701670,67.510002,63.540001,yes,yes,no,70.550003,71.940002,no,black,no,yes,no,no,no,married,$25000-$34999,doctorate,dont know,postsec ed,postsec ed,never,no,no,0
701672,50.189999,49.209999,yes,yes,no,49.709999,45.07,yes,black,no,yes,no,no,no,married,35000-$49999,dont know,dont know,coll grad,coll grad,never,no,no,0
701693,37.099998,47.939999,yes,yes,no,62.41,60.32,no,white,yes,no,no,no,no,married,50000-$74999,junior coll,junior coll,postsec ed,postsec ed,more than twice,no,yes,0
702804,40.310001,56.630001,yes,yes,no,50.630001,66.190002,no,white,yes,no,no,no,no,married,50000-$74999,coll <4,coll grad,coll grad,coll grad,never,no,no,0
702812,39.799999,35.060001,no,no,no,49.990002,41.580002,no,white,yes,no,no,no,no,married,35000-$49999,hs grad,hs grad,hs grad,hs grad,never,yes,no,1
702819,60.959999,66.459999,yes,yes,no,58.240002,67.260002,no,white,yes,no,no,no,no,married,35000-$49999,masters,coll grad,coll grad,coll grad,never,no,no,0
702829,41.98,49.91,yes,no,no,55.060001,49.029999,yes,white,yes,no,no,no,no,married,35000-$49999,junior coll,hs grad,coll <4,coll <4,never,no,no,0
702849,54.299999,53.889999,yes,yes,no,48.98,55.439999,yes,white,yes,no,no,no,no,married,35000-$49999,masters,hs grad,coll grad,coll grad,never,no,no,0
702866,56.41,61.939999,yes,yes,no,56.84,59.369999,no,white,yes,no,no,no,no,married,$25000-$34999,hs grad,hs grad,junior coll,coll <4,never,no,no,0
702871,53.43,46.150002,yes,yes,no,40.950001,43.259998,yes,ai,no,no,no,no,yes,married,$25000-$34999,hs grad,not finish hs,coll grad,coll grad,never,no,no,0
702876,66.519997,69.720001,yes,yes,no,70.550003,72.230003,yes,api,no,no,no,yes,no,married,50000-$74999,doctorate,doctorate,postsec ed,postsec ed,never,no,no,0
702908,54.450001,50.389999,yes,yes,no,59.139999,54.259998,no,white,yes,no,no,no,no,married,$25000-$34999,not finish hs,hs grad,coll grad,coll grad,never,no,no,1
702911,45.25,41.799999,yes,no,no,42.360001,42.48,no,white,yes,no,no,no,no,married,7500-$9999,not finish hs,not finish hs,not finish hs,not finish hs,never,no,no,2
702920,51.580002,40.75,yes,no,no,40.66,40.299999,yes,white,yes,no,no,no,no,married,$15000-$19999,hs grad,not finish hs,hs grad,not finish hs,never,no,no,1
702927,42.470001,34.439999,yes,yes,no,46.389999,36.810001,no,white,yes,no,no,no,no,married,$20000-$24999,hs grad,hs grad,coll grad,coll grad,never,no,no,0
702935,49.049999,36.209999,yes,no,no,47.389999,48.790001,yes,white,yes,no,no,no,no,married,$15000-$19999,junior coll,hs grad,junior coll,junior coll,never,no,no,0
702948,58.889999,55.509998,yes,yes,no,63.34,62.099998,yes,white,yes,no,no,no,no,married,$15000-$19999,coll <4,junior coll,postsec ed,postsec ed,once or twice,no,yes,0
702949,52.209999,48.279999,yes,no,no,51.5,45.75,no,white,yes,no,no,no,no,married,35000-$49999,junior coll,hs grad,coll grad,coll grad,once or twice,no,yes,0
702962,43.049999,43.380001,yes,no,no,50.02,42.040001,no,white,yes,no,no,no,no,divorced,$3000-$4999,not finish hs,not finish hs,coll grad,coll grad,never,no,no,3
702986,32.43,46.459999,yes,no,no,52.189999,60.970001,no,white,yes,no,no,no,no,married,$25000-$34999,dont know,dont know,coll grad,coll grad,never,no,no,0
702993,42.759998,44.540001,yes,no,no,40.279999,42.59,yes,white,yes,no,no,no,no,divorced,$5000-$7499,not finish hs,not finish hs,hs grad,hs grad,never,no,no,2
702996,54.299999,43.09,yes,no,no,50.02,50.16,no,white,yes,no,no,no,no,married,$10000-$14999,dont know,dont know,coll <4,coll grad,never,no,no,1
704210,37.5,52.040001,yes,no,no,40.68,42.720001,yes,hispanic,no,no,yes,no,no,married,$15000-$19999,not finish hs,hs grad,coll grad,coll grad,never,yes,no,0
704225,37.169998,42.43,no,no,no,43.619999,40.049999,no,white,yes,no,no,no,no,married,<$1000,not finish hs,not finish hs,not finish hs,not finish hs,once or twice,yes,yes,3
704227,60.299999,54.330002,yes,yes,no,61.419998,51.049999,yes,white,yes,no,no,no,no,married,50000-$74999,coll <4,coll grad,coll grad,postsec ed,never,no,no,0
704230,55.25,60.18,yes,yes,no,58.400002,56.68,yes,ai,no,no,no,no,yes,married,$25000-$34999,hs grad,hs grad,coll grad,coll grad,never,no,no,1
704260,32.599998,32,yes,no,no,41.560001,37.470001,no,white,yes,no,no,no,no,married,$25000-$34999,not finish hs,hs grad,coll grad,coll grad,more than twice,yes,yes,1
704271,52.310001,57.75,yes,yes,no,56.970001,57.43,yes,white,yes,no,no,no,no,married,$20000-$24999,hs grad,coll grad,postsec ed,postsec ed,never,no,no,0
704289,34.490002,42.34,yes,no,no,48.209999,52.349998,no,ai,no,no,no,no,yes,married,35000-$49999,hs grad,coll grad,coll grad,coll grad,once or twice,no,yes,0
704296,63.459999,62.299999,yes,yes,no,65.470001,50.849998,yes,white,yes,no,no,no,no,married,50000-$74999,junior coll,junior coll,coll grad,coll grad,never,no,no,0
704815,57.799999,67.559998,yes,yes,no,65.709999,67.300003,no,api,no,no,no,yes,no,married,50000-$74999,masters,dont know,coll grad,coll grad,never,no,no,0
704816,50.130001,62.080002,yes,no,no,41.900002,50.580002,no,white,yes,no,no,no,no,married,50000-$74999,coll grad,hs grad,postsec ed,postsec ed,never,no,no,0
704868,62.169998,60.150002,yes,yes,no,57.290001,61.25,yes,white,yes,no,no,no,no,married,50000-$74999,coll <4,coll grad,coll grad,postsec ed,never,no,no,0
708902,40.169998,54.34,yes,no,no,41.869999,41.139999,no,white,yes,no,no,no,no,married,50000-$74999,hs grad,hs grad,coll grad,coll grad,never,no,no,1
708906,64.830002,61.27,yes,yes,no,66.5,54.700001,yes,api,no,no,no,yes,no,married,$25000-$34999,masters,coll grad,postsec ed,postsec ed,never,no,no,0
708920,58.48,57.119999,yes,yes,no,66.389999,65.110001,yes,white,yes,no,no,no,no,divorced,$25000-$34999,hs grad,coll <4,coll grad,postsec ed,never,no,no,2
708925,55.849998,52.57,yes,yes,no,42.41,46.889999,no,white,yes,no,no,no,no,divorced,$10000-$14999,junior coll,junior coll,coll grad,coll grad,once or twice,no,yes,2
708928,56.43,50.029999,yes,no,no,40.700001,41.23,no,white,yes,no,no,no,no,married,$25000-$34999,hs grad,hs grad,hs grad,junior coll,more than twice,no,yes,0
708946,44.849998,43.970001,yes,yes,no,42.709999,40.869999,yes,white,yes,no,no,no,no,married,35000-$49999,coll grad,coll grad,postsec ed,postsec ed,never,no,no,0
708951,37.779999,34.57,yes,no,no,47.950001,38.759998,yes,white,yes,no,no,no,no,married,35000-$49999,coll grad,coll grad,coll <4,coll <4,never,no,no,0
708953,54.16,55.470001,yes,yes,no,42.470001,46.950001,no,white,yes,no,no,no,no,married,$25000-$34999,junior coll,hs grad,coll grad,coll <4,never,no,no,0
708990,51.34,50.27,yes,yes,no,51.389999,54.75,yes,white,yes,no,no,no,no,divorced,$15000-$19999,doctorate,hs grad,postsec ed,coll grad,never,no,no,1
708997,66.720001,63.790001,yes,yes,no,60.709999,63.200001,yes,api,no,no,no,yes,no,married,$25000-$34999,coll grad,not finish hs,coll grad,coll grad,never,no,no,0
709053,34.549999,36.509998,yes,yes,no,37.900002,42.610001,yes,black,no,yes,no,no,no,divorced,<$1000,dont know,not finish hs,postsec ed,coll grad,never,no,no,2
709414,66.739998,57.610001,yes,yes,no,66.5,63.240002,yes,white,yes,no,no,no,no,married,$25000-$34999,coll grad,coll grad,coll grad,coll grad,never,yes,no,0
709421,59.93,57.830002,yes,yes,no,65.690002,71.760002,no,white,yes,no,no,no,no,married,$10000-$14999,junior coll,hs grad,postsec ed,postsec ed,never,no,no,1
709427,58.830002,46.799999,yes,no,no,63.34,45.950001,yes,white,yes,no,no,no,no,married,$25000-$34999,hs grad,hs grad,coll grad,coll grad,never,no,no,0
709430,61.880001,63.09,yes,yes,no,65.690002,65.309998,no,white,yes,no,no,no,no,married,$25000-$34999,masters,junior coll,postsec ed,coll grad,never,yes,no,0
709436,45.599998,50.740002,yes,no,no,38.650002,52.16,no,white,yes,no,no,no,no,divorced,$3000-$4999,hs grad,hs grad,hs grad,hs grad,never,yes,no,2
