id,hhid,wt88,coll,hgc23,yearsr,fatherdec,offer
9,9,691916,1,13,81,Father not deceased,1
14,13,784204,1,16,81,Father not deceased,1
15,15,811032,1,16,82,Father not deceased,0
21,20,644853,1,16,79,Father not deceased,1
22,22,728189,1,16,80,Father not deceased,1
24,23,776590,0,12,79,Father not deceased,1
26,26,610234,1,14,80,Father not deceased,1
28,27,718671,0,12,82,Father not deceased,0
31,31,116805,0,12,82,Father not deceased,0
35,34,574554,1,13,81,Father deceased,1
38,37,544825,0,12,81,Father not deceased,1
41,40,141340,1,12,80,Father not deceased,1
42,42,612985,0,12,82,Father not deceased,0
43,43,116902,0,12,79,Father not deceased,1
44,44,538391,0,12,79,Father not deceased,1
46,46,548565,1,16,81,Father not deceased,1
60,58,628106,0,12,80,Father not deceased,1
61,61,497395,1,13,80,Father not deceased,1
62,61,585325,0,12,82,Father not deceased,0
66,66,608612,1,14,82,Father not deceased,0
68,67,526123,1,16,80,Father not deceased,1
70,70,664385,1,17,79,Father not deceased,1
71,70,591945,1,17,81,Father not deceased,1
75,74,526700,1,16,80,Father not deceased,1
76,74,608324,1,14,82,Father not deceased,0
77,77,654541,1,16,82,Father not deceased,0
80,80,633645,1,13,82,Father not deceased,0
81,80,608324,1,14,83,Father not deceased,0
87,85,170066,0,12,81,Father not deceased,1
91,90,484919,1,16,82,Father not deceased,0
92,92,453875,0,12,81,Father not deceased,1
93,93,521532,0,12,83,Father not deceased,0
102,101,559822,1,15,82,Father not deceased,0
106,106,607146,1,16,79,Father deceased,1
107,107,483249,1,14,80,Father not deceased,1
109,109,500864,0,12,80,Father not deceased,1
120,120,512585,1,16,80,Father not deceased,1
121,120,633263,1,15,82,Father not deceased,0
122,122,652321,0,12,80,Father not deceased,1
123,123,519206,1,14,80,Father not deceased,1
129,129,625825,1,15,79,Father not deceased,1
133,133,566454,0,12,81,Father not deceased,1
135,134,533707,1,13,82,Father not deceased,0
137,137,474952,1,15,79,Father not deceased,1
138,137,481382,1,16,80,Father not deceased,1
139,137,555922,1,15,81,Father not deceased,1
141,141,480628,1,16,80,Father not deceased,1
144,142,565594,0,12,82,Father deceased,0
145,145,457811,0,12,80,Father not deceased,1
146,145,553140,0,12,82,Father not deceased,0
147,147,474952,1,14,79,Father not deceased,1
148,148,519090,0,12,81,Father not deceased,1
149,148,565594,0,12,82,Father not deceased,0
152,151,455448,0,12,79,Father not deceased,1
157,157,453163,1,14,80,Father not deceased,1
161,160,429423,0,12,80,Father not deceased,1
162,162,549323,1,16,79,Father not deceased,1
163,162,431651,1,16,80,Father not deceased,1
165,165,469431,0,12,79,Father not deceased,1
166,165,431651,0,12,80,Father not deceased,1
171,171,561924,1,14,80,Father not deceased,1
185,183,527171,0,12,82,Father not deceased,0
187,186,527171,1,15,83,Father not deceased,0
190,190,452683,1,16,80,Father not deceased,1
191,190,494720,1,16,81,Father not deceased,1
192,192,525726,1,16,81,Father not deceased,1
194,193,527171,1,14,82,Father not deceased,0
196,196,565167,1,16,82,Father not deceased,0
197,197,530788,0,12,80,Father not deceased,1
198,198,549689,1,16,81,Father not deceased,1
210,210,474938,1,16,80,Father not deceased,1
211,210,847274,1,16,82,Father not deceased,0
212,212,599058,0,12,79,Father not deceased,1
213,212,481073,1,16,81,Father not deceased,1
214,212,553673,1,13,82,Father not deceased,0
220,219,925943,1,17,79,Father not deceased,1
230,230,596204,1,15,83,Father not deceased,0
232,231,627974,1,14,79,Father not deceased,1
233,231,596204,0,12,82,Father not deceased,0
235,235,559503,1,15,81,Father not deceased,1
236,236,518468,1,13,80,Father not deceased,1
240,238,131094,0,12,80,Father not deceased,1
245,245,578959,1,14,80,Father not deceased,1
246,245,630886,1,16,82,Father not deceased,0
252,251,164012,0,12,82,Father not deceased,0
255,254,615523,0,12,80,Father not deceased,1
256,256,491181,0,12,79,Father not deceased,1
257,256,564825,0,12,82,Father not deceased,0
260,260,594923,1,14,79,Father not deceased,1
261,260,530056,1,14,81,Father not deceased,1
263,262,467482,0,12,80,Father not deceased,1
265,265,518336,1,16,80,Father not deceased,1
271,270,645158,1,15,82,Father not deceased,0
275,274,125591,0,13,80,Father not deceased,1
276,276,491181,0,12,79,Father not deceased,1
279,279,489743,0,12,80,Father not deceased,1
281,281,623252,1,16,79,Father not deceased,1
282,281,581070,1,16,81,Father not deceased,1
286,286,154281,1,14,82,Father not deceased,0
294,294,500993,0,12,79,Father not deceased,1
296,296,586624,0,12,82,Father not deceased,0
298,298,231422,0,12,83,Father not deceased,0
299,298,152148,0,11,82,Father not deceased,0
301,300,122273,0,12,79,Father not deceased,1
302,300,113373,0,12,79,Father not deceased,1
303,300,106324,0,12,82,Father not deceased,0
304,300,160803,0,11,83,Father not deceased,0
308,307,757176,0,12,79,Father not deceased,1
311,309,718869,0,12,83,Father not deceased,0
312,312,607993,0,12,80,Father not deceased,1
313,312,674618,0,11,81,Father not deceased,1
316,316,693613,0,12,82,Father not deceased,0
318,318,595251,0,12,81,Father not deceased,1
325,323,665269,1,15,82,Father not deceased,0
342,341,449745,1,16,81,Father not deceased,1
346,346,424097,1,16,80,Father not deceased,1
347,347,459128,1,15,80,Father not deceased,1
350,348,424097,1,17,80,Father not deceased,1
352,351,434393,0,12,79,Father not deceased,1
355,353,559758,0,12,82,Father deceased,0
356,356,480158,0,11,81,Father not deceased,1
358,357,555611,1,15,80,Father not deceased,1
359,357,530757,1,14,81,Father not deceased,1
360,360,457015,1,16,79,Father not deceased,1
365,364,457015,1,13,80,Father not deceased,1
366,364,499454,1,16,81,Father not deceased,1
372,371,546849,1,15,79,Father not deceased,1
374,373,454397,0,12,79,Father not deceased,1
384,382,204601,0,12,80,Father not deceased,1
385,385,217150,0,12,79,Father not deceased,1
386,385,208802,0,12,80,Father not deceased,1
387,385,201394,0,12,82,Father not deceased,0
388,388,208802,1,15,80,Father not deceased,1
393,392,470416,0,12,80,Father not deceased,1
396,396,145385,0,12,82,Father not deceased,0
400,399,508360,1,16,79,Father not deceased,1
406,404,492578,1,13,82,Father not deceased,0
407,407,574058,1,16,81,Father not deceased,1
408,408,552859,0,12,79,Father not deceased,1
410,410,521238,0,12,79,Father not deceased,1
412,411,542968,1,13,83,Father not deceased,0
413,413,521238,0,12,79,Father not deceased,1
418,418,883823,0,13,82,Father not deceased,0
433,432,566471,0,12,79,Father not deceased,1
434,434,553763,0,12,81,Father not deceased,1
435,435,616027,0,12,79,Father not deceased,1
436,436,629336,0,12,81,Father not deceased,1
438,438,114723,1,13,80,Father not deceased,1
439,439,505387,1,16,79,Father not deceased,1
440,440,579656,0,12,79,Father not deceased,1
441,441,516454,0,12,81,Father not deceased,1
443,443,574615,1,14,79,Father not deceased,1
444,444,500993,1,16,79,Father not deceased,1
445,444,545545,1,16,82,Father not deceased,0
447,447,451524,0,12,81,Father deceased,1
448,447,545545,0,12,83,Father deceased,0
451,449,545545,0,12,82,Father not deceased,0
452,452,141433,1,16,82,Father not deceased,0
458,458,524714,1,16,79,Father not deceased,1
459,459,567983,1,16,81,Father not deceased,1
460,460,502981,0,12,79,Father not deceased,1
461,461,550673,1,16,79,Father not deceased,1
465,465,542166,0,12,81,Father not deceased,1
469,469,151978,0,12,83,Father not deceased,0
474,472,527280,0,12,80,Father not deceased,1
475,472,664133,0,12,82,Father not deceased,0
476,476,627908,0,12,82,Father not deceased,0
479,479,598951,0,12,81,Father not deceased,1
484,483,601857,0,12,80,Father not deceased,1
486,485,536234,0,12,81,Father not deceased,1
488,487,536234,0,12,81,Father not deceased,1
489,489,637260,1,14,79,Father not deceased,1
492,490,479310,0,12,79,Father not deceased,1
493,490,605020,0,13,82,Father not deceased,0
496,494,505809,0,12,81,Father not deceased,1
499,498,479310,0,12,79,Father not deceased,1
503,503,468849,0,12,79,Father not deceased,1
507,507,468849,0,14,79,Father not deceased,1
511,510,555385,1,14,81,Father not deceased,1
513,513,240431,1,14,79,Father deceased,1
515,515,843239,1,16,83,Father not deceased,0
516,516,177969,0,11,82,Father not deceased,0
517,516,177320,0,11,81,Father not deceased,1
519,516,248981,0,11,83,Father not deceased,0
522,520,224333,1,13,80,Father not deceased,1
523,520,174541,1,13,83,Father not deceased,0
534,533,629643,0,11,83,Father not deceased,0
536,536,511217,0,10,83,Father not deceased,0
537,536,629643,0,11,83,Father not deceased,0
540,539,555313,0,11,80,Father not deceased,1
548,548,565673,0,12,81,Father not deceased,1
549,549,867208,0,12,79,Father not deceased,1
553,552,700438,1,16,79,Father not deceased,1
554,552,674319,1,16,82,Father not deceased,0
558,556,493501,1,16,80,Father not deceased,1
562,561,555313,1,17,80,Father not deceased,1
567,567,628670,1,14,81,Father not deceased,1
571,571,697169,0,13,82,Father not deceased,0
576,575,503620,1,17,79,Father not deceased,1
591,591,105853,1,14,81,Father not deceased,1
592,592,672867,0,11,80,Father not deceased,1
594,594,172623,1,12,81,Father not deceased,1
596,596,175372,1,13,81,Father not deceased,1
600,600,600932,1,15,79,Father not deceased,1
601,600,677707,1,16,81,Father not deceased,1
604,603,634321,0,12,80,Father not deceased,1
605,605,598532,0,12,81,Father not deceased,1
606,605,637793,1,13,82,Father not deceased,0
610,607,598532,0,12,82,Father not deceased,0
613,613,534693,0,12,80,Father not deceased,1
615,615,639239,0,11,82,Father not deceased,0
616,615,521682,0,12,83,Father not deceased,0
622,622,237161,1,15,82,Father not deceased,0
624,623,215880,1,16,81,Father deceased,1
628,628,197366,0,12,83,Father not deceased,0
636,636,427358,0,12,80,Father not deceased,1
637,637,522814,1,13,82,Father not deceased,0
638,638,550673,0,12,79,Father not deceased,1
639,638,490631,0,12,81,Father not deceased,1
641,641,576895,0,11,80,Father not deceased,1
642,642,472459,0,12,81,Father not deceased,1
643,642,555981,0,12,82,Father not deceased,0
645,644,562852,1,16,79,Father not deceased,1
650,649,440712,1,16,79,Father not deceased,1
651,651,520210,1,17,82,Father not deceased,0
652,651,497504,1,15,79,Father not deceased,1
656,656,465807,1,16,80,Father not deceased,1
657,657,497667,1,16,82,Father not deceased,0
661,658,459585,0,12,79,Father not deceased,1
662,658,465807,0,12,81,Father not deceased,1
663,663,446233,1,15,80,Father not deceased,1
665,664,547294,1,16,82,Father not deceased,0
666,666,538741,0,12,79,Father not deceased,1
667,666,520210,1,14,82,Father not deceased,0
669,669,603248,0,12,79,Father not deceased,1
670,670,472342,1,14,79,Father not deceased,1
671,671,148800,1,15,80,Father not deceased,1
