State,id,unemployment,median_income,uninsured,year,County,MedicaidStatus,AdoptedYear,SID
Alabama,0500000US01003,5.6,50900,12,2011,Baldwin County,Not Adopted,0,1
Alabama,0500000US01015,7.5,39037,15.6,2011,Calhoun County,Not Adopted,0,2
Alabama,0500000US01043,5.5,40054,12.6,2011,Cullman County,Not Adopted,0,3
Alabama,0500000US01049,7.1,36541,19.6,2011,DeKalb County,Not Adopted,0,4
Alabama,0500000US01051,6.5,57405,10.6,2011,Elmore County,Not Adopted,0,5
Alabama,0500000US01055,4.8,33313,14.4,2011,Etowah County,Not Adopted,0,6
Alabama,0500000US01069,5.2,40336,13.9,2011,Houston County,Not Adopted,0,7
Alabama,0500000US01073,7.2,41976,13.3,2011,Jefferson County,Not Adopted,0,8
Alabama,0500000US01077,3.1,40121,11,2011,Lauderdale County,Not Adopted,0,9
Alabama,0500000US01081,6.4,42965,12.6,2011,Lee County,Not Adopted,0,10
Alabama,0500000US01083,4,46339,11.6,2011,Limestone County,Not Adopted,0,11
Alabama,0500000US01089,7.2,54444,13.9,2011,Madison County,Not Adopted,0,12
Alabama,0500000US01095,7.5,39245,19.3,2011,Marshall County,Not Adopted,0,13
Alabama,0500000US01097,6.6,42372,16.7,2011,Mobile County,Not Adopted,0,14
Alabama,0500000US01101,5.9,44185,14.8,2011,Montgomery County,Not Adopted,0,15
Alabama,0500000US01103,5.9,43590,17.7,2011,Morgan County,Not Adopted,0,16
Alabama,0500000US01115,8.2,47500,14.3,2011,St. Clair County,Not Adopted,0,17
Alabama,0500000US01117,5.6,65815,10.1,2011,Shelby County,Not Adopted,0,18
Alabama,0500000US01121,10.5,30367,17,2011,Talladega County,Not Adopted,0,19
Alabama,0500000US01125,5.7,42056,10.9,2011,Tuscaloosa County,Not Adopted,0,20
Alabama,0500000US01127,7.7,34343,16.5,2011,Walker County,Not Adopted,0,21
Alabama,0500000US01003,5.3,48378,12.3,2012,Baldwin County,Not Adopted,0,1
Alabama,0500000US01015,9,39169,11.9,2012,Calhoun County,Not Adopted,0,2
Alabama,0500000US01043,4.4,37287,15.4,2012,Cullman County,Not Adopted,0,3
Alabama,0500000US01049,4.3,38445,13.3,2012,DeKalb County,Not Adopted,0,4
Alabama,0500000US01051,3.8,53328,11,2012,Elmore County,Not Adopted,0,5
Alabama,0500000US01055,6.2,34264,16.7,2012,Etowah County,Not Adopted,0,6
Alabama,0500000US01069,4.4,40409,14.5,2012,Houston County,Not Adopted,0,7
Alabama,0500000US01073,5.6,43959,12.4,2012,Jefferson County,Not Adopted,0,8
Alabama,0500000US01077,6.1,41908,15.2,2012,Lauderdale County,Not Adopted,0,9
Alabama,0500000US01081,4.2,45043,10.8,2012,Lee County,Not Adopted,0,10
Alabama,0500000US01083,5.2,47999,13.7,2012,Limestone County,Not Adopted,0,11
Alabama,0500000US01089,5.8,56839,11.7,2012,Madison County,Not Adopted,0,12
Alabama,0500000US01095,5.5,36197,14.6,2012,Marshall County,Not Adopted,0,13
Alabama,0500000US01097,6.8,39691,16.1,2012,Mobile County,Not Adopted,0,14
Alabama,0500000US01101,5.7,41807,13.4,2012,Montgomery County,Not Adopted,0,15
Alabama,0500000US01103,8.4,45051,14.7,2012,Morgan County,Not Adopted,0,16
Alabama,0500000US01115,6,51859,13.2,2012,St. Clair County,Not Adopted,0,17
Alabama,0500000US01117,3.8,65728,9.5,2012,Shelby County,Not Adopted,0,18
Alabama,0500000US01121,7.5,31547,12.6,2012,Talladega County,Not Adopted,0,19
Alabama,0500000US01125,4.4,41139,11.8,2012,Tuscaloosa County,Not Adopted,0,20
Alabama,0500000US01127,6.3,35330,13.7,2012,Walker County,Not Adopted,0,21
Alabama,0500000US01003,7.4,44874,16.4,2013,Baldwin County,Not Adopted,0,1
Alabama,0500000US01015,15.8,36205,14.5,2013,Calhoun County,Not Adopted,0,2
Alabama,0500000US01043,7.1,39936,17.4,2013,Cullman County,Not Adopted,0,3
Alabama,0500000US01049,7.2,40876,18.4,2013,DeKalb County,Not Adopted,0,4
Alabama,0500000US01051,9.7,50699,8,2013,Elmore County,Not Adopted,0,5
Alabama,0500000US01055,10.2,39459,14.2,2013,Etowah County,Not Adopted,0,6
Alabama,0500000US01069,8.5,39006,14.2,2013,Houston County,Not Adopted,0,7
Alabama,0500000US01073,8.6,45013,12.7,2013,Jefferson County,Not Adopted,0,8
Alabama,0500000US01077,6.8,43891,12.1,2013,Lauderdale County,Not Adopted,0,9
Alabama,0500000US01081,5.6,46068,11.5,2013,Lee County,Not Adopted,0,10
Alabama,0500000US01083,7.2,48639,15,2013,Limestone County,Not Adopted,0,11
Alabama,0500000US01089,9,58076,12.4,2013,Madison County,Not Adopted,0,12
Alabama,0500000US01095,9.4,38116,20.1,2013,Marshall County,Not Adopted,0,13
Alabama,0500000US01097,11.7,42944,14.3,2013,Mobile County,Not Adopted,0,14
Alabama,0500000US01101,7.3,44675,12.4,2013,Montgomery County,Not Adopted,0,15
Alabama,0500000US01103,9.7,43169,14.5,2013,Morgan County,Not Adopted,0,16
Alabama,0500000US01115,NA,53803,8.5,2013,St. Clair County,Not Adopted,0,17
Alabama,0500000US01117,4.8,67800,9.9,2013,Shelby County,Not Adopted,0,18
Alabama,0500000US01121,12.5,37719,12.3,2013,Talladega County,Not Adopted,0,19
Alabama,0500000US01125,7.8,46538,12.6,2013,Tuscaloosa County,Not Adopted,0,20
Alabama,0500000US01127,13.1,34810,14.6,2013,Walker County,Not Adopted,0,21
Alabama,0500000US01003,7.2,48461,14.8,2014,Baldwin County,Not Adopted,0,1
Alabama,0500000US01015,10.4,41428,10.7,2014,Calhoun County,Not Adopted,0,2
Alabama,0500000US01043,5.7,38261,14.6,2014,Cullman County,Not Adopted,0,3
Alabama,0500000US01049,4.8,35023,18.1,2014,DeKalb County,Not Adopted,0,4
Alabama,0500000US01051,9.6,55530,9.1,2014,Elmore County,Not Adopted,0,5
Alabama,0500000US01055,10.4,40529,12.4,2014,Etowah County,Not Adopted,0,6
Alabama,0500000US01069,8.6,39543,11.6,2014,Houston County,Not Adopted,0,7
Alabama,0500000US01073,8.8,44646,11,2014,Jefferson County,Not Adopted,0,8
Alabama,0500000US01077,8.1,40309,12.1,2014,Lauderdale County,Not Adopted,0,9
Alabama,0500000US01081,6.5,39932,9.3,2014,Lee County,Not Adopted,0,10
Alabama,0500000US01083,8.3,49672,12.4,2014,Limestone County,Not Adopted,0,11
Alabama,0500000US01089,7.5,58339,10.9,2014,Madison County,Not Adopted,0,12
Alabama,0500000US01095,7,33446,18.6,2014,Marshall County,Not Adopted,0,13
Alabama,0500000US01097,7.9,43642,12.9,2014,Mobile County,Not Adopted,0,14
Alabama,0500000US01101,9.8,43346,12.3,2014,Montgomery County,Not Adopted,0,15
Alabama,0500000US01103,5.6,44708,14.1,2014,Morgan County,Not Adopted,0,16
Alabama,0500000US01115,5.8,50146,9.8,2014,St. Clair County,Not Adopted,0,17
Alabama,0500000US01117,5.8,67754,10.4,2014,Shelby County,Not Adopted,0,18
Alabama,0500000US01121,12,39971,11.8,2014,Talladega County,Not Adopted,0,19
Alabama,0500000US01125,7.6,47531,8.4,2014,Tuscaloosa County,Not Adopted,0,20
