s_id,voucher,pre_ach,post_ach
42,0,74,83
194,0,7.5,4
218,1,2.5,3.5
261,1,0,26.5
304,1,11,2
323,1,8.5,15
339,1,0,23.5
348,1,37,52
349,1,71,60
386,0,24,13
387,0,26,17
392,0,17,13
472,1,49,31.5
480,0,1.5,5.5
513,1,7.5,4.5
515,1,33,22.5
516,1,28.5,9.5
558,0,9.5,12.5
608,1,15,34.5
657,1,23,10.5
685,1,23,5
740,0,1.5,10.5
841,1,27,18.5
847,0,8,11.5
855,0,27.5,52
867,0,46.5,70.5
913,1,0,59.5
917,0,53,46
918,0,17,20
932,1,8.5,27.5
943,1,1.5,16.5
973,0,54,45
984,1,9.5,11
1049,1,57.5,61.5
1061,0,3.5,5.5
1069,0,1,0
1070,0,12.5,30
1098,0,9,.5
1103,0,0,5.5
1121,0,7.5,20
1124,1,12.5,16
1235,1,25.5,21.5
1277,1,18.5,26
1281,1,.5,.5
1297,1,65.5,44
1305,1,17,35
1315,0,4,13
1320,0,10,17.5
1367,1,60.5,39
1395,0,6.5,17
1406,0,26,41
1518,0,7.5,43
1535,0,.5,6
1555,0,23.5,41
1606,0,1.5,3
1656,0,2,.5
1662,1,25,43.5
1718,0,6.5,22
1719,0,17.5,19
1726,0,22,28
1731,1,21,17
1741,1,5,5.5
1743,1,41.5,45
1798,0,3,5.5
1844,0,1,26
1857,0,5,7
1859,1,0,29
1894,0,31.5,20
1896,1,3.5,6
1965,1,11,4.5
1978,1,24,28
1979,1,0,9.5
1989,0,10.5,7
2013,1,3.5,2.5
2049,0,7,1
2060,1,29,49.5
2081,0,0,24.5
2097,1,2.5,12
2117,1,5,46.5
2175,1,7.5,14.5
2178,1,31.5,11.5
2188,0,18,21
2218,0,14.5,9
2220,0,12,9
2322,0,.5,3.5
2403,1,22,60.5
2429,0,21,12.5
2430,0,10,17
2464,0,50.5,23
2490,1,7.5,3.5
2552,0,14,6.5
2606,1,60,55.5
2647,0,12,4.5
2695,0,1.5,3
2718,0,2.5,13
2761,1,3.5,2.5
2766,0,7.5,10
2773,0,59.5,4
2922,1,12,26
2950,0,14,16
2955,1,7,7
2978,0,14.5,16.5
2982,0,27.5,43.5
3033,0,6.5,16
3125,1,6.5,4
3148,1,46.5,50
3165,1,8,2
3252,0,11,26
3284,1,7.5,16
3297,1,16,22
3409,0,5,17
3448,1,39.5,33
3453,1,2.5,54.5
3472,0,5.5,16
3473,0,3.5,11
3572,0,32.5,12
3648,0,5.5,3.5
3688,0,1,2.5
3757,1,22.5,16.5
3851,1,22,43.5
3857,1,.5,32
3886,1,24.5,37.5
3905,1,19.5,24
3906,1,17.5,10.5
3977,1,44.5,58.5
3990,1,19,21.5
4002,1,21,25.5
4017,1,15.5,26
4018,1,3,8.5
4028,1,41.5,46
4187,1,24,22
4234,0,22.5,47
4290,1,12.5,36
4291,1,21,46.5
4330,1,4,16
4340,1,40.5,58
4366,0,.5,9.5
4454,1,3,3
4457,1,8.5,12
4465,0,7.5,3.5
4466,0,10.5,23
4551,1,3.5,27.5
4559,1,13.5,16
4688,1,3.5,8.5
4726,1,18,25.5
4777,0,7.5,4
4885,1,13.5,8
4939,1,0,16
4966,1,57.5,4
5029,1,36.5,72
5030,1,9,10.5
5071,0,11.5,4
5097,1,44.5,79.5
5121,0,7,5
5124,0,19.5,12
5143,0,39,53.5
5160,0,26.5,35
5325,0,7.5,18
5329,1,3.5,7.5
5334,1,14,29
5364,1,26.5,28
5365,1,92,55.5
5396,0,0,67.5
5448,0,75,68.5
5483,0,30.5,10.5
5512,1,44.5,86.5
5513,1,10,30.5
5542,0,35,33.5
5559,1,18.5,10
5562,0,23,31.5
5590,1,6.5,17.5
5591,1,22.5,28.5
5592,1,32,30.5
5607,0,5,7.5
5630,1,4,3
5647,1,17,27
5670,1,45.5,49
5789,1,42.5,48.5
5828,1,1.5,2
5869,1,57.5,52
5947,1,10.5,31.5
5953,0,15.5,47
5954,0,25,24.5
5975,0,29.5,24.5
6034,0,13.5,17.5
6035,0,2,4
6098,0,21,7
6103,1,43,52
6307,0,25,45
6359,1,14,14
6380,0,39.5,20
6383,1,4,22
6432,1,40,51.5
6504,1,5.5,14
6505,1,16,32.5
6530,1,0,3
6585,1,15.5,10.5
6713,1,37.5,33.5
6740,0,25,39.5
6865,0,9,20.5
7037,1,8.5,5
7123,0,2,29
7151,1,19.5,6
7295,0,6.5,11
7296,0,16,9
7577,0,42,18
7609,0,30.5,34
7655,0,6.5,13.5
7749,0,13.5,12
9029,1,35,50
9058,1,4,15
9094,0,20,3.5
9126,0,67.5,66.5
9145,1,28,44.5
9147,1,2,7.5
9218,1,61,66
9235,1,24,30
9249,0,13.5,46
9251,0,5,5
