t1,t2,t3,t4,t5,Y
0,1,0,0,1,-17.890940152769577
0,0,0,1,0,9.92181866158268
1,0,0,0,0,-1.4267448548186978
0,0,0,0,1,-17.311957254403367
1,0,1,0,0,-7.503679180489927
0,1,1,0,0,-4.171462134099355
0,1,1,0,1,-22.7635602722067
1,0,1,0,0,-7.976900896198172
1,1,1,0,0,-10.3024506983192
0,0,1,0,0,-1.4282100112265543
0,1,0,1,1,-6.649002675472889
1,1,0,1,1,-16.23480397105086
1,0,0,0,1,-19.28625886874931
0,1,0,1,0,14.958472333039998
0,1,1,1,0,18.424612515598323
1,1,1,1,1,-19.240373289155784
0,1,1,1,1,-3.292633556724659
1,1,0,1,0,3.3690949060385122
1,1,0,0,1,-22.342275078674
0,1,0,0,1,-19.70763601506033
1,0,1,0,1,-30.601795006157307
1,1,0,1,0,2.82836165223998
0,0,1,0,0,-3.020377711465321
1,0,0,0,0,0.46110994183368537
1,0,1,0,1,-31.747037760853267
1,1,0,0,0,-6.642258506666415
0,1,0,1,0,11.651761830951763
1,1,1,1,0,7.073997506716687
1,0,0,0,1,-19.095175004421105
1,1,1,1,1,-15.223516920750763
1,1,1,0,0,-10.338846594341089
0,1,1,0,0,-3.807501422011494
0,0,0,1,0,9.350933305934
1,0,0,0,0,-0.1256976735154257
0,0,0,1,1,-12.962133989963334
0,1,0,0,1,-17.41581038460873
0,0,1,0,1,-25.16999155406706
0,1,1,1,1,-0.9955997366780904
1,0,1,0,0,-8.402695998775352
0,0,1,0,1,-23.29759619885234
0,1,1,0,1,-22.381897948418487
0,1,1,1,1,-3.5410342648351345
1,1,0,1,1,-15.011358672676241
0,0,0,0,0,0.05526384263597587
1,1,1,1,0,8.425814868505821
0,1,1,1,1,-4.252728471486406
0,1,1,1,0,18.998577994101467
0,0,1,0,1,-24.05493829270542
0,0,1,1,1,-10.794976410597913
0,0,0,1,1,-11.323504567646328
0,1,0,0,0,-6.726667108546293
0,1,0,0,1,-19.001497386185907
1,1,0,0,1,-21.243005178814258
1,0,0,1,1,-21.556454108407443
0,0,1,0,0,-2.163761724745205
0,0,1,0,0,-0.8733796962985874
1,0,1,0,1,-29.83843544733478
1,0,0,1,0,1.989270875963639
1,0,1,0,0,-5.759794609646013
1,1,0,0,0,-7.171655866188216
0,0,1,0,0,-1.3432361507379271
0,1,0,0,1,-18.294589686007388
0,1,1,0,1,-23.624976348481077
1,0,0,0,1,-18.641095167723563
1,1,0,0,0,-6.492719075697526
1,0,0,0,1,-20.48733574467308
1,0,0,1,1,-21.517946085004873
0,1,0,0,1,-19.95586927326121
1,1,0,0,1,-23.49598924607699
0,0,0,1,1,-12.91585582225022
0,1,1,1,0,19.950606074845705
0,1,1,1,1,-3.9614093703502853
1,0,1,0,0,-7.895476913964392
0,1,1,0,0,-2.7578051511458495
0,0,0,1,1,-11.031883400602961
0,1,0,0,1,-17.073670163843293
0,1,0,1,0,13.116508342226297
1,0,0,0,1,-19.15077795783084
0,0,1,0,1,-23.01394492372224
1,1,1,0,1,-31.1422902370981
0,0,0,1,1,-11.585533539569552
